business
A01	B01	C01	D01	E01 F01
A02	B02	C02	D02	E02	F02
A03	B03	C03	D03	E03	F03
A04	B04	C04	D04	E04	F04
A05	B05	C05	D05	E05	F05
economy
A06	B06	C06	D06	E06	F06
A07	B07	C07	D07	E07	F07
A08	B08	C08	D08	E08	F08
A09	B09	C09	D09	E09	F09
A10	B10	C10	D10	E10	F10
A11	B11	C11	D11	E11	F11
A12	B12	C12	D12	E12	F12
A13	B13	C13	D13	E13	F13
A14	B14	C14	D14	E14	F14
A15	B15	C15	D15	E15	F15
A16	B16	C16	D16	E16	F16
A17	B17	C17	D17	E17	F17
A18	B18	C18	D18	E18	F18
A19	B19	C19	D19	E19	F19
A20	B20	C20	D20	E20	F20
A21	B21	C21	D21	E21	F21
A22	B22	C22	D22	E22	F22
A23	B23	C23	D23	E23	F23
A24	B24	C24	D24	E24	F24
A25	B25	C25	D25	E25	F25
A26	B26	C26	D26	E26	F26
A27	B27	C27	D27	E27	F27
A28	B28	C28	D28	E28	F28
